t,x,cp,cn,phi
0.01,0.02,1.0924701330875846,0.9127974467503175,-0.47971990060206054
0.01,0.03,1.0832935387509919,0.9204954301557334,-0.46960768723780283
0.01,0.04,1.0748044264561358,0.9277348591530624,-0.45951174268301465
0.01,0.05,1.0669765610365358,0.9345191373548953,-0.4494304943264087
0.01,0.06,1.0597822177049163,0.9408541591330223,-0.43936248124096317
0.01,0.07,1.053192397527197,0.9467481845641416,-0.42930635081838603
0.01,0.08,1.0471770621646768,0.9522116822924495,-0.41926085503906774
0.01,0.09,1.0417053823174085,0.9572571442929794,-0.40922484641680984
0.01,0.1,1.0367459941650965,0.9618988770954388,-0.3991972736618044
0.01,0.11,1.0322672581381709,0.9661527744517865,-0.38917717710848776
0.01,0.12,1.0282375145530103,0.970036076692549,-0.379163683956997
0.01,0.13,1.0246253309974584,0.9735671221142105,-0.36915600337795834
0.01,0.14,1.021399736836376,0.9767650956766758,-0.35915342153030905
0.01,0.15,1.0185304407984577,0.9796497800756394,-0.3491552965408305
0.01,0.16,1.015988028278447,0.9822413139048725,-0.33916105349212233
0.01,0.17,1.0137441357152557,0.9845599611575299,-0.3291701794630055
0.01,0.18,1.011771600158099,0.9866258957564797,-0.3191822186618999
0.01,0.19,1.0100445828824334,0.988459004176381,-0.30919676768971893
0.01,0.2,1.0085386666401586,0.9900787085507016,-0.29921347096441664
0.01,0.21,1.007230926802211,0.9915038119707461,-0.2892320163346097
0.01,0.22,1.0060999772580745,0.9927523670053201,-0.2792521309048664
0.01,0.23,1.0051259924617721,0.9938415678209571,-0.26927357709038924
0.01,0.24,1.0042907074479412,0.9947876656826153,-0.25929614891406005
0.01,0.25,1.003577397979354,0.9956059070788569,-0.24931966855427523
0.01,0.26,1.0029708432276507,0.9963104932552429,-0.23934398314773142
0.01,0.27,1.002457273534771,0.9969145595625326,-0.22936896184743918
0.01,0.28,1.0020243058595408,0.9974301727358498,-0.219394493132755
0.01,0.29,1.0016608694906393,0.9978683440172204,-0.2094204823652064
0.01,0.3,1.0013571245142088,0.9982390559135175,-0.19944684958131684
0.01,0.31,1.0011043753734543,0.9985513003388284,-0.18947352751155647
0.01,0.32,1.0008949816610069,0.9988131259164821,-0.17950045981291596
0.01,0.33,1.0007222680550116,0.9990316923017272,-0.16952759950141108
0.01,0.34,1.000580435058622,0.9992133295207676,-0.1595549075700393
0.01,0.35000000000000003,1.000464471940764,0.9993636004946014,-0.14958235177730042
0.01,0.36,1.0003700730133012,0.9994873651160946,-0.1396099055912875
0.01,0.37,1.0002935581242387,0.9995888444657828,-0.12963754727455196
0.01,0.38,1.0002317980049122,0.9996716839768045,-0.11966525909534481
0.01,0.39,1.0001821448861776,0.9997390145840801,-0.10969302665144293
0.01,0.4,1.0001423685978321,0.9997935111106792,-0.09972083829349401
0.01,0.41000000000000003,1.0001105981888123,0.9998374473499773,-0.08974868463564628
0.01,0.42,1.0000852689538076,0.999872747491838,-0.0797765581421141
0.01,0.43,1.000065074624412,0.9999010337121348,-0.0698044527792393
0.01,0.44,1.0000489243785706,0.9999236698961199,-0.05983236372351236
